appearance_id,repetition,outer_fold_id,row_id,x_group_id,procedure,y,prediction_oof,residual_oof,robust_scale,scale_method,scale_scope,z_oof,fallback_status,fallback_code,action
id:diag-one-rep-001%3Arow-01,1,id:outer-01-fold-1,id:row-01,id:x%3A0x0.0p%2B0,one,1.3,4.143473954906463,-2.8434739549064636,1.2733649281484714,qn_finite_sample,outer_train_inner_oof,-2.2330393212894593,not_applicable,,review_only
id:diag-two-rep-001%3Arow-01,1,id:outer-01-fold-1,id:row-01,id:x%3A0x0.0p%2B0,two,1.3,4.143473954906463,-2.8434739549064636,0.6516075414303091,qn_finite_sample,outer_train_inner_oof,-4.363783065900227,failed_with_p1_fallback,OPTIMIZER_FAILURE,review_only
id:diag-one-rep-001%3Arow-02,1,id:outer-01-fold-2,id:row-02,id:x%3A0x1.0000000000000p%2B0,one,1.78,4.217866971740014,-2.4378669717400134,1.2733649281484718,qn_finite_sample,outer_train_inner_oof,-1.9145077093373213,not_applicable,,review_only
id:diag-two-rep-001%3Arow-02,1,id:outer-01-fold-2,id:row-02,id:x%3A0x1.0000000000000p%2B0,two,1.78,2.972559179792603,-1.192559179792603,0.7070829848886273,qn_finite_sample,outer_train_inner_oof,-1.686590124892403,succeeded,,review_only
id:diag-one-rep-001%3Arow-03,1,id:outer-01-fold-3,id:row-03,id:x%3A0x1.0000000000000p%2B1,one,2.41,4.3155078063340495,-1.9055078063340494,1.6175176114318428,qn_finite_sample,outer_train_inner_oof,-1.1780445497884098,not_applicable,,review_only
id:diag-two-rep-001%3Arow-03,1,id:outer-01-fold-3,id:row-03,id:x%3A0x1.0000000000000p%2B1,two,2.41,3.3421389776195216,-0.9321389776195215,0.7912595307087035,qn_finite_sample,outer_train_inner_oof,-1.1780445497884078,succeeded,,review_only
id:diag-one-rep-001%3Arow-04,1,id:outer-01-fold-4,id:row-04,id:x%3A0x1.8000000000000p%2B1,one,3.19,4.436396458688568,-1.2463964586885683,1.4454412697901575,qn_finite_sample,outer_train_inner_oof,-0.8622947778912625,not_applicable,,review_only
id:diag-two-rep-001%3Arow-04,1,id:outer-01-fold-4,id:row-04,id:x%3A0x1.8000000000000p%2B1,two,3.19,3.79971396540523,-0.6097139654052302,0.8467349741670217,qn_finite_sample,outer_train_inner_oof,-0.7200765103685935,succeeded,,review_only
id:diag-one-rep-001%3Arow-05,1,id:outer-01-fold-5,id:row-05,id:x%3A0x1.0000000000000p%2B2,one,3.67,4.510789475522119,-0.8407894755221195,1.2733649281484718,qn_finite_sample,outer_train_inner_oof,-0.6602894872757836,not_applicable,,review_only
id:diag-two-rep-001%3Arow-05,1,id:outer-01-fold-5,id:row-05,id:x%3A0x1.0000000000000p%2B2,two,3.67,4.081298573273359,-0.41129857327335895,0.8467349741670217,qn_finite_sample,outer_train_inner_oof,-0.4857465273333905,succeeded,,review_only
id:diag-one-rep-001%3Arow-06,1,id:outer-01-fold-1,id:row-06,id:x%3A0x1.4000000000000p%2B2,one,4.3,4.608430310116154,-0.3084303101161545,1.4454412697901575,qn_finite_sample,outer_train_inner_oof,-0.21338141961377027,not_applicable,,review_only
id:diag-two-rep-001%3Arow-06,1,id:outer-01-fold-1,id:row-06,id:x%3A0x1.4000000000000p%2B2,two,4.3,4.608430310116154,-0.3084303101161545,0.7912595307087035,qn_finite_sample,outer_train_inner_oof,-0.3897966446481906,failed_with_p1_fallback,OPTIMIZER_FAILURE,review_only
id:diag-one-rep-001%3Arow-07,1,id:outer-01-fold-2,id:row-07,id:x%3A0x1.8000000000000p%2B2,one,5.08,4.729318962470674,0.3506810375293261,1.2733649281484714,qn_finite_sample,outer_train_inner_oof,0.2753971228336183,not_applicable,,review_only
id:diag-two-rep-001%3Arow-07,1,id:outer-01-fold-2,id:row-07,id:x%3A0x1.8000000000000p%2B2,two,5.08,4.9084533588859856,0.17154664111401452,0.7699480789466207,qn_finite_sample,outer_train_inner_oof,0.22280286918659561,succeeded,,review_only
id:diag-one-rep-001%3Arow-08,1,id:outer-01-fold-3,id:row-08,id:x%3A0x1.c000000000000p%2B2,one,5.5600000000000005,4.803711979304225,0.7562880206957754,1.2360207008134685,qn_finite_sample,outer_train_inner_oof,0.6118732640950396,not_applicable,,review_only
id:diag-two-rep-001%3Arow-08,1,id:outer-01-fold-3,id:row-08,id:x%3A0x1.c000000000000p%2B2,two,5.5600000000000005,5.190037966754115,0.3699620332458853,0.8604468650963308,qn_finite_sample,outer_train_inner_oof,0.4299649963911094,succeeded,,review_only
id:diag-one-rep-001%3Arow-09,1,id:outer-01-fold-4,id:row-09,id:x%3A0x1.0000000000000p%2B3,one,6.19,4.90135281389826,1.2886471861017403,1.1742182121951237,qn_finite_sample,outer_train_inner_oof,1.0974512000565033,not_applicable,,review_only
id:diag-two-rep-001%3Arow-09,1,id:outer-01-fold-4,id:row-09,id:x%3A0x1.0000000000000p%2B3,two,6.19,5.559617764581033,0.630382235418967,1.0930000718791255,qn_finite_sample,outer_train_inner_oof,0.5767449167091004,succeeded,,review_only
id:diag-one-rep-001%3Arow-10,1,id:outer-01-fold-5,id:row-10,id:x%3A0x1.2000000000000p%2B3,one,6.97,5.022241466252779,1.947758533747221,1.0493013811105363,qn_finite_sample,outer_train_inner_oof,1.8562431812353049,not_applicable,,review_only
id:diag-two-rep-001%3Arow-10,1,id:outer-01-fold-5,id:row-10,id:x%3A0x1.2000000000000p%2B3,two,6.97,6.017192752366741,0.9528072476332587,0.8604468650963308,qn_finite_sample,outer_train_inner_oof,1.1073400186385567,succeeded,,review_only
id:diag-one-rep-001%3Arow-11,1,id:outer-01-fold-1,id:row-11,id:x%3A0x1.4000000000000p%2B3,one,7.45,5.09663448308633,2.3533655169136702,1.2360207008134685,qn_finite_sample,outer_train_inner_oof,1.9039855201169673,not_applicable,,review_only
id:diag-two-rep-001%3Arow-11,1,id:outer-01-fold-1,id:row-11,id:x%3A0x1.4000000000000p%2B3,two,7.45,5.09663448308633,2.3533655169136702,0.6046383376352611,qn_finite_sample,outer_train_inner_oof,3.892187065275544,failed_with_p1_fallback,OPTIMIZER_FAILURE,review_only
id:diag-one-rep-001%3Arow-12,1,id:outer-01-fold-2,id:row-12,id:x%3A0x1.6000000000000p%2B3,one,8.079999999999998,5.194275317680364,2.8857246823196343,1.0493013811105363,qn_finite_sample,outer_train_inner_oof,2.750139029899594,not_applicable,,review_only
id:diag-two-rep-001%3Arow-12,1,id:outer-01-fold-2,id:row-12,id:x%3A0x1.6000000000000p%2B3,two,8.079999999999998,6.668357158061788,1.4116428419382103,0.6146774665960905,qn_finite_sample,outer_train_inner_oof,2.296558632213229,succeeded,,review_only
id:diag-one-rep-002%3Arow-01,2,id:outer-02-fold-2,id:row-01,id:x%3A0x0.0p%2B0,one,1.3,4.143473954906463,-2.8434739549064636,1.2733649281484714,qn_finite_sample,outer_train_inner_oof,-2.2330393212894593,not_applicable,,review_only
id:diag-two-rep-002%3Arow-01,2,id:outer-02-fold-2,id:row-01,id:x%3A0x0.0p%2B0,two,1.3,4.143473954906463,-2.8434739549064636,0.6516075414303091,qn_finite_sample,outer_train_inner_oof,-4.363783065900227,succeeded,,review_only
id:diag-one-rep-002%3Arow-02,2,id:outer-02-fold-3,id:row-02,id:x%3A0x1.0000000000000p%2B0,one,1.78,4.217866971740014,-2.4378669717400134,1.2733649281484718,qn_finite_sample,outer_train_inner_oof,-1.9145077093373213,not_applicable,,review_only
id:diag-two-rep-002%3Arow-02,2,id:outer-02-fold-3,id:row-02,id:x%3A0x1.0000000000000p%2B0,two,1.78,2.972559179792603,-1.192559179792603,0.7070829848886273,qn_finite_sample,outer_train_inner_oof,-1.686590124892403,succeeded,,review_only
id:diag-one-rep-002%3Arow-03,2,id:outer-02-fold-4,id:row-03,id:x%3A0x1.0000000000000p%2B1,one,2.41,4.3155078063340495,-1.9055078063340494,1.6175176114318428,qn_finite_sample,outer_train_inner_oof,-1.1780445497884098,not_applicable,,review_only
id:diag-two-rep-002%3Arow-03,2,id:outer-02-fold-4,id:row-03,id:x%3A0x1.0000000000000p%2B1,two,2.41,3.3421389776195216,-0.9321389776195215,0.7912595307087035,qn_finite_sample,outer_train_inner_oof,-1.1780445497884078,succeeded,,review_only
