row_id,x,y,prediction_p1_refit,prediction_p2_refit,prediction_recommended_refit,residual_recommended_refit,prediction_recommended_oof,residual_recommended_oof,diagnostic_flag,action
id:demo-001,0.0,2.0,1.9315808801524126,2.009430824313598,2.009430824313598,-0.009430824313597874,2.0299440369804396,-0.02994403698043957,,
id:demo-002,1.0,2.19,2.0058500721710106,2.155556555204197,2.155556555204197,0.03444344479580286,2.18124498814036,0.008755011859639783,,
id:demo-003,2.0,2.27,2.0970462403916974,2.302526448504101,2.302526448504101,-0.0325264485041008,2.31839009426104,-0.048390094261039795,,
id:demo-004,3.0,2.47,2.208862746354253,2.450273599428769,2.450273599428769,0.019726400571231206,2.4008832515707583,0.06911674842924209,,
id:demo-005,4.0,2.56,2.345715147695606,2.5987311031936615,2.5987311031936615,-0.038731103193661465,2.58691263565263,-0.02691263565262969,,
id:demo-006,5.0,2.76,2.5128399953338976,2.7478320550142388,2.7478320550142388,0.012167944985761014,2.7071854573888263,0.05281454261117369,,
id:demo-007,6.0,2.9,2.716384843832163,2.8975095501059607,2.8975095501059607,0.0024904498940392372,2.8277393469726766,0.0722606530273231,,
id:demo-008,7.0,3.09,2.963474890720371,3.0476966836842876,3.0476966836842876,0.04230331631571227,2.968649584542628,0.12135041545737169,,
id:demo-009,8.0,3.17,3.262234860298336,3.1983265509646794,3.1983265509646794,-0.02832655096467951,3.1874345922353533,-0.017434592235353374,,
id:demo-010,9.0,3.37,3.621736687769691,3.3493322471625966,3.3493322471625966,0.02066775283740352,3.3753606367359197,-0.005360636735919355,,
id:demo-011,10.0,3.46,4.0518352133540025,3.500646867493498,3.500646867493498,-0.04064686749349811,3.693758167688508,-0.23375816768850788,,
id:demo-012,11.0,3.66,4.562847570771815,3.652203507172846,3.652203507172846,0.007796492827154111,3.711752813559514,-0.051752813559514,,
id:demo-013,12.0,4.325,5.165030911339958,4.327221038619431,4.327221038619431,-0.002221038619430793,4.121770248240228,0.20322975175977254,,
id:demo-014,13.0,5.565,5.867822869745302,5.525926672217613,5.525926672217613,0.039073327782387146,5.521964096078747,0.043035903921253116,,
id:demo-015,14.0,6.695,6.678836021779146,6.725065545971921,6.725065545971921,-0.03006554597192057,6.609923477362063,0.0850765226379373,,
id:demo-016,15.0,7.945,7.602646518850934,7.924570493021144,7.924570493021144,0.02042950697885626,7.89537628913335,0.049623710866650406,,
id:demo-017,16.0,9.085,8.639487798230965,9.124374346504066,9.124374346504066,-0.039374346504065016,9.12879457262985,-0.04379457262984854,,
id:demo-018,17.0,10.335,9.784041971997613,10.324409939559477,10.324409939559477,0.01059006044052424,10.329032084808887,0.005967915191114059,,
id:demo-019,18.0,11.525,11.02458946598393,11.524610105326158,11.524610105326158,0.0003898946738427611,11.544536578183898,-0.019536578183897646,,
id:demo-020,19.0,12.765,12.34279598367182,12.724907676942898,12.724907676942898,0.04009232305710242,12.722128177539899,0.04287182246010168,,
id:demo-021,20.0,13.895,13.714351398373365,13.925235487548484,13.925235487548484,-0.030235487548484485,13.924411220556895,-0.029411220556895046,,
id:demo-022,21.0,15.145,15.110517916910183,15.125526370281701,15.125526370281701,0.01947362971829847,15.142255801621165,0.0027441983788358826,,
id:demo-023,22.0,16.285,16.500426845226585,16.325713158281342,16.325713158281342,-0.04071315828134203,16.335809483709085,-0.050809483709084446,,
id:demo-024,23.0,17.535,17.8537565699389,17.525728684686182,17.525728684686182,0.009271315313817752,17.522386472755606,0.012613527244395684,,
id:demo-025,24.0,18.725,19.143311415193182,18.725505782635018,18.725505782635018,-0.0005057826350167716,18.714627214196263,0.010372785803738793,,
id:demo-026,25.0,19.965,20.34705086237653,19.92497728526663,19.92497728526663,0.0400227147333716,19.903465668706254,0.06153433129374797,,
id:demo-027,26.0,21.095,21.449278053285397,21.124076025719805,21.124076025719805,-0.02907602571980661,21.11815027170281,-0.023150271702812475,,
id:demo-028,27.0,22.345,22.44091804290039,22.32273483713333,22.32273483713333,0.02226516286667035,22.304942422278327,0.04005757772167229,,
id:demo-029,28.0,23.485,23.31901661059697,23.520886552645994,23.520886552645994,-0.035886552645994385,23.53070610948115,-0.045706109481153945,,
id:demo-030,29.0,24.735,24.08571159475359,24.718464005396584,24.718464005396584,0.016535994603415816,24.688730984320657,0.04626901567934105,,
