trace_id,row_id,procedure,training_row_id,training_x_group_id,sample_residual,center_median,estimator,bin_count,target_bin_id,in_target_bin,raw_local_scale,local_floor,computed_scale,zero_tolerance,scale_status,scale_reason
id:scale-one%3A%3Cimg%20src%3Dx%20onerror%3D%22alert%281%29%22%3E%3A001,id:%3Cimg%20src%3Dx%20onerror%3D%22alert%281%29%22%3E,one,id:row-02,id:x%3A0x1.0000000000000p%2B0,-1.6653801888919293,0.23956075507457586,qn_finite_sample,2,id:bin-1,true,0.8698738483891382,0.7168093060595381,0.8698738483891382,1.1482370609883217e-13,defined,
id:scale-one%3A%3Cimg%20src%3Dx%20onerror%3D%22alert%281%29%22%3E%3A002,id:%3Cimg%20src%3Dx%20onerror%3D%22alert%281%29%22%3E,one,id:row-03,id:x%3A0x1.0000000000000p%2B1,-1.3017096450437786,0.23956075507457586,qn_finite_sample,2,id:bin-1,true,0.8698738483891382,0.7168093060595381,0.8698738483891382,1.1482370609883217e-13,defined,
id:scale-one%3A%3Cimg%20src%3Dx%20onerror%3D%22alert%281%29%22%3E%3A003,id:%3Cimg%20src%3Dx%20onerror%3D%22alert%281%29%22%3E,one,id:row-04,id:x%3A0x1.8000000000000p%2B1,-0.8514508764698773,0.23956075507457586,qn_finite_sample,2,id:bin-1,true,0.8698738483891382,0.7168093060595381,0.8698738483891382,1.1482370609883217e-13,defined,
id:scale-one%3A%3Cimg%20src%3Dx%20onerror%3D%22alert%281%29%22%3E%3A004,id:%3Cimg%20src%3Dx%20onerror%3D%22alert%281%29%22%3E,one,id:row-05,id:x%3A0x1.0000000000000p%2B2,-0.5743685573474768,0.23956075507457586,qn_finite_sample,2,id:bin-1,true,0.8698738483891382,0.7168093060595381,0.8698738483891382,1.1482370609883217e-13,defined,
id:scale-one%3A%3Cimg%20src%3Dx%20onerror%3D%22alert%281%29%22%3E%3A005,id:%3Cimg%20src%3Dx%20onerror%3D%22alert%281%29%22%3E,one,id:row-06,id:x%3A0x1.4000000000000p%2B2,-0.2106980134993257,0.23956075507457586,qn_finite_sample,2,id:bin-1,true,0.8698738483891382,0.7168093060595381,0.8698738483891382,1.1482370609883217e-13,defined,
id:scale-one%3A%3Cimg%20src%3Dx%20onerror%3D%22alert%281%29%22%3E%3A006,id:%3Cimg%20src%3Dx%20onerror%3D%22alert%281%29%22%3E,one,id:row-07,id:x%3A0x1.8000000000000p%2B2,0.23956075507457586,0.23956075507457586,qn_finite_sample,2,id:bin-1,true,0.8698738483891382,0.7168093060595381,0.8698738483891382,1.1482370609883217e-13,defined,
id:scale-one%3A%3Cimg%20src%3Dx%20onerror%3D%22alert%281%29%22%3E%3A007,id:%3Cimg%20src%3Dx%20onerror%3D%22alert%281%29%22%3E,one,id:row-08,id:x%3A0x1.c000000000000p%2B2,0.5166430741969765,0.23956075507457586,qn_finite_sample,2,id:bin-1,false,0.8698738483891382,0.7168093060595381,0.8698738483891382,1.1482370609883217e-13,defined,
id:scale-one%3A%3Cimg%20src%3Dx%20onerror%3D%22alert%281%29%22%3E%3A008,id:%3Cimg%20src%3Dx%20onerror%3D%22alert%281%29%22%3E,one,id:row-09,id:x%3A0x1.0000000000000p%2B3,0.8803136180451276,0.23956075507457586,qn_finite_sample,2,id:bin-1,false,0.8698738483891382,0.7168093060595381,0.8698738483891382,1.1482370609883217e-13,defined,
id:scale-one%3A%3Cimg%20src%3Dx%20onerror%3D%22alert%281%29%22%3E%3A009,id:%3Cimg%20src%3Dx%20onerror%3D%22alert%281%29%22%3E,one,id:row-10,id:x%3A0x1.2000000000000p%2B3,1.3305723866190289,0.23956075507457586,qn_finite_sample,2,id:bin-1,false,0.8698738483891382,0.7168093060595381,0.8698738483891382,1.1482370609883217e-13,defined,
id:scale-one%3A%3Cimg%20src%3Dx%20onerror%3D%22alert%281%29%22%3E%3A010,id:%3Cimg%20src%3Dx%20onerror%3D%22alert%281%29%22%3E,one,id:row-11,id:x%3A0x1.4000000000000p%2B3,1.6076547057414294,0.23956075507457586,qn_finite_sample,2,id:bin-1,false,0.8698738483891382,0.7168093060595381,0.8698738483891382,1.1482370609883217e-13,defined,
id:scale-one%3A%3Cimg%20src%3Dx%20onerror%3D%22alert%281%29%22%3E%3A011,id:%3Cimg%20src%3Dx%20onerror%3D%22alert%281%29%22%3E,one,id:row-12,id:x%3A0x1.6000000000000p%2B3,1.9713252495895797,0.23956075507457586,qn_finite_sample,2,id:bin-1,false,0.8698738483891382,0.7168093060595381,0.8698738483891382,1.1482370609883217e-13,defined,
id:scale-two%3A%3Cimg%20src%3Dx%20onerror%3D%22alert%281%29%22%3E%3A001,id:%3Cimg%20src%3Dx%20onerror%3D%22alert%281%29%22%3E,two,id:row-02,id:x%3A0x1.0000000000000p%2B0,-1.65044374198412,0.2374121847221527,qn_finite_sample,2,id:bin-1,true,0.8620721316162245,0.710380393181629,0.8620721316162245,1.1482370609883217e-13,defined,
id:scale-two%3A%3Cimg%20src%3Dx%20onerror%3D%22alert%281%29%22%3E%3A002,id:%3Cimg%20src%3Dx%20onerror%3D%22alert%281%29%22%3E,two,id:row-03,id:x%3A0x1.0000000000000p%2B1,-1.2900348832492865,0.2374121847221527,qn_finite_sample,2,id:bin-1,true,0.8620721316162245,0.710380393181629,0.8620721316162245,1.1482370609883217e-13,defined,
id:scale-two%3A%3Cimg%20src%3Dx%20onerror%3D%22alert%281%29%22%3E%3A003,id:%3Cimg%20src%3Dx%20onerror%3D%22alert%281%29%22%3E,two,id:row-04,id:x%3A0x1.8000000000000p%2B1,-0.8438143914823492,0.2374121847221527,qn_finite_sample,2,id:bin-1,true,0.8620721316162245,0.710380393181629,0.8620721316162245,1.1482370609883217e-13,defined,
