series,x,y,domain_start,domain_end
p1,0,1.25,0,7
p1,0.070000000000000007,1.2948,0,7
p1,0.14000000000000001,1.3395999999999999,0,7
p1,0.20999999999999999,1.3844000000000001,0,7
p1,0.28000000000000003,1.4292,0,7
p1,0.34999999999999998,1.474,0,7
p1,0.41999999999999998,1.5187999999999999,0,7
p1,0.48999999999999999,1.5636000000000001,0,7
p1,0.56000000000000005,1.6084000000000001,0,7
p1,0.63,1.6532,0,7
p1,0.69999999999999996,1.698,0,7
p1,0.77000000000000002,1.7427999999999999,0,7
p1,0.83999999999999997,1.7875999999999999,0,7
p1,0.91000000000000003,1.8324,0,7
p1,0.97999999999999998,1.8772,0,7
p1,1.05,1.9220000000000002,0,7
p1,1.1200000000000001,1.9668000000000001,0,7
p1,1.1899999999999999,2.0116000000000001,0,7
p1,1.26,2.0564,0,7
p1,1.3300000000000001,2.1012,0,7
p1,1.3999999999999999,2.1459999999999999,0,7
p1,1.47,2.1907999999999999,0,7
p1,1.54,2.2355999999999998,0,7
p1,1.6100000000000001,2.2804000000000002,0,7
p1,1.6799999999999999,2.3251999999999997,0,7
p1,1.75,2.3700000000000001,0,7
p1,1.8200000000000001,2.4148000000000001,0,7
p1,1.8899999999999999,2.4596,0,7
p1,1.96,2.5044,0,7
p1,2.0299999999999998,2.5491999999999999,0,7
p1,2.1000000000000001,2.5940000000000003,0,7
p1,2.1699999999999999,2.6387999999999998,0,7
p1,2.2400000000000002,2.6836000000000002,0,7
p1,2.3100000000000001,2.7284000000000002,0,7
p1,2.3799999999999999,2.7732000000000001,0,7
p1,2.4500000000000002,2.8180000000000001,0,7
p1,2.52,2.8628,0,7
p1,2.5899999999999999,2.9076,0,7
p1,2.6600000000000001,2.9523999999999999,0,7
p1,2.73,2.9972000000000003,0,7
p1,2.7999999999999998,3.0419999999999998,0,7
p1,2.8700000000000001,3.0868000000000002,0,7
p1,2.9399999999999999,3.1315999999999997,0,7
p1,3.0099999999999998,3.1764000000000001,0,7
p1,3.0800000000000001,3.2212000000000001,0,7
p1,3.1499999999999999,3.266,0,7
p1,3.2200000000000002,3.3108,0,7
p1,3.29,3.3555999999999999,0,7
p1,3.3599999999999999,3.4003999999999999,0,7
p1,3.4300000000000002,3.4452000000000003,0,7
p1,3.5,3.4900000000000002,0,7
p1,3.5699999999999998,3.5348000000000002,0,7
p1,3.6400000000000001,3.5796000000000001,0,7
p1,3.71,3.6244000000000001,0,7
p1,3.7799999999999998,3.6692,0,7
p1,3.8500000000000001,3.714,0,7
p1,3.9199999999999999,3.7587999999999999,0,7
p1,3.9900000000000002,3.8036000000000003,0,7
p1,4.0599999999999996,3.8483999999999998,0,7
p1,4.1299999999999999,3.8931999999999998,0,7
p1,4.2000000000000002,3.9380000000000002,0,7
p1,4.2699999999999996,3.9827999999999997,0,7
p1,4.3399999999999999,4.0275999999999996,0,7
p1,4.4100000000000001,4.0724,0,7
p1,4.4800000000000004,4.1172000000000004,0,7
p1,4.5499999999999998,4.1619999999999999,0,7
p1,4.6200000000000001,4.2068000000000003,0,7
p1,4.6900000000000004,4.2515999999999998,0,7
p1,4.7599999999999998,4.2964000000000002,0,7
p1,4.8300000000000001,4.3412000000000006,0,7
p1,4.9000000000000004,4.3860000000000001,0,7
p1,4.9699999999999998,4.4307999999999996,0,7
p1,5.04,4.4756,0,7
p1,5.1100000000000003,4.5204000000000004,0,7
p1,5.1799999999999997,4.5651999999999999,0,7
p1,5.25,4.6099999999999994,0,7
p1,5.3200000000000003,4.6547999999999998,0,7
p1,5.3899999999999997,4.6996000000000002,0,7
p1,5.46,4.7444000000000006,0,7
p1,5.5300000000000002,4.7892000000000001,0,7
p1,5.5999999999999996,4.8339999999999996,0,7
p1,5.6699999999999999,4.8788,0,7
p1,5.7400000000000002,4.9236000000000004,0,7
p1,5.8099999999999996,4.9683999999999999,0,7
p1,5.8799999999999999,5.0131999999999994,0,7
p1,5.9500000000000002,5.0579999999999998,0,7
p1,6.0199999999999996,5.1028000000000002,0,7
p1,6.0899999999999999,5.1476000000000006,0,7
p1,6.1600000000000001,5.1924000000000001,0,7
p1,6.2300000000000004,5.2372000000000005,0,7
p1,6.2999999999999998,5.282,0,7
p1,6.3700000000000001,5.3268000000000004,0,7
p1,6.4400000000000004,5.3715999999999999,0,7
p1,6.5099999999999998,5.4164000000000003,0,7
p1,6.5800000000000001,5.4611999999999998,0,7
p1,6.6500000000000004,5.5060000000000002,0,7
p1,6.7199999999999998,5.5507999999999997,0,7
p1,6.79,5.5956000000000001,0,7
p1,6.8600000000000003,5.6404000000000005,0,7
p1,6.9299999999999997,5.6852,0,7
p1,7,5.7300000000000004,0,7
