row_id,x,y,prediction_p1_refit,prediction_p2_refit,prediction_recommended_refit,residual_recommended_refit,prediction_recommended_oof,residual_recommended_oof,diagnostic_flag,action,prediction_llm_refit
id:demo-001,0.0,2.0,1.9320767810323798,2.003,1.9320767810323798,0.06792321896762021,1.9353669650929826,0.06463303490701744,,,
id:demo-002,1.0,2.19,2.0064135080040613,2.1527391304347825,2.0064135080040613,0.18358649199593868,1.9630056497451873,0.22699435025481263,,,
id:demo-003,2.0,2.27,2.0976935811357382,2.3024782608695653,2.0976935811357382,0.1723064188642618,2.07096959873593,0.19903040126407023,,,
id:demo-004,3.0,2.47,2.2096139955406926,2.452217391304348,2.2096139955406926,0.2603860044593076,2.1803421858613987,0.28965781413860126,,,
id:demo-005,4.0,2.56,2.3465945805023676,2.6019565217391305,2.3465945805023676,0.21340541949763248,2.327388284602325,0.23261171539767544,,,
id:demo-006,5.0,2.76,2.5138768193172094,2.751695652173913,2.5138768193172094,0.24612318068279038,2.517686055732254,0.24231394426774622,,,
id:demo-007,6.0,2.9,2.7176138276921513,2.9014347826086957,2.7176138276921513,0.1823861723078486,2.7148291518980274,0.1851708481019727,,,
id:demo-008,7.0,3.09,2.9649368723135257,3.0511739130434785,2.9649368723135257,0.1250631276864742,2.9726976616063983,0.1173023383936016,,,
id:demo-009,8.0,3.17,3.2639770002825585,3.200913043478261,3.2639770002825585,-0.09397700028255862,3.239277540986385,-0.06927754098638528,,,
id:demo-010,9.0,3.37,3.623812281411168,3.3506521739130437,3.623812281411168,-0.2538122814111681,3.6436886832258395,-0.2736886832258394,,,
id:demo-011,10.0,3.46,4.054302816607219,3.500391304347826,4.054302816607219,-0.5943028166072191,4.0952768018985015,-0.6352768018985011,,,
id:demo-012,11.0,3.66,4.565769152093489,3.650130434782609,4.565769152093489,-0.9057691520934892,4.623177387873719,-0.9631773878737189,,,
id:demo-013,12.0,4.325,5.168468732831224,4.324942857142857,5.168468732831224,-0.8434687328312238,5.215347383304032,-0.8903473833040314,,,
id:demo-014,13.0,5.565,5.871834866264558,5.524828571428571,5.871834866264558,-0.30683486626455725,5.909182647147453,-0.3441826471474534,,,
id:demo-015,14.0,6.695,6.683469626126756,6.724714285714286,6.683469626126756,0.01153037387324396,6.718473549801171,-0.023473549801170446,,,
id:demo-016,15.0,7.945,7.607931205520191,7.9246,7.607931205520191,0.3370687944798094,7.594224660480746,0.35077533951925366,,,
id:demo-017,16.0,9.085,8.64542707853178,9.124485714285715,8.64542707853178,0.4395729214682209,8.554354947190976,0.5306450528090245,,,
id:demo-018,17.0,10.335,9.790606087486141,10.324371428571428,9.790606087486141,0.5443939125138595,9.698169503619656,0.6368304963803446,,,
id:demo-019,18.0,11.525,11.031710422875573,11.524257142857143,11.031710422875573,0.4932895771244272,10.927321094483979,0.5976789055160214,,,
id:demo-020,19.0,12.765,12.350366617238086,12.724142857142857,12.350366617238086,0.41463338276191486,12.292375005500002,0.4726249944999994,,,
id:demo-021,20.0,13.895,13.722229662281373,13.924028571428572,13.722229662281373,0.17277033771862627,13.733487558036522,0.16151244196347747,,,
id:demo-022,21.0,15.145,15.118536546348215,15.123914285714285,15.118536546348215,0.026463453651784263,15.10667324409902,0.03832675590097878,,,
id:demo-023,22.0,16.285,16.5084072036927,16.323800000000002,16.5084072036927,-0.22340720369269818,16.575350061920794,-0.29035006192079393,,,
id:demo-024,23.0,17.535,17.861524332273,17.523685714285715,17.861524332273,-0.3265243322729994,17.89770339275607,-0.3627033927560692,,,
id:demo-025,24.0,18.725,19.150711234985707,18.72357142857143,19.150711234985707,-0.4257112349857053,19.182684903480876,-0.45768490348087276,,,
id:demo-026,25.0,19.965,20.35395752823807,19.923457142857146,20.35395752823807,-0.3889575282380697,20.38567795111615,-0.4206779511161489,,,
id:demo-027,26.0,21.095,21.455602682299755,21.12334285714286,21.455602682299755,-0.36060268229975634,21.52871885678962,-0.4337188567896213,,,
id:demo-028,27.0,22.345,22.44660914688746,22.323228571428572,22.44660914688746,-0.10160914688746203,22.522149955900296,-0.17714995590029758,,,
id:demo-029,28.0,23.485,23.324056937542707,23.52311428571429,23.324056937542707,0.16094306245729229,23.310762823015345,0.17423717698465246,,,
id:demo-030,29.0,24.735,24.09011222269124,24.723000000000003,24.09011222269124,0.6448877773087602,23.637314723081086,1.097685276918913,,,
