trace_id,row_id,procedure,training_row_id,training_x_group_id,sample_residual,center_median,estimator,bin_count,target_bin_id,in_target_bin,raw_local_scale,local_floor,computed_scale,zero_tolerance,scale_status,scale_reason
id:scale-one%3Arow-01%3A001,id:row-01,one,id:row-02,id:x%3A0x1.0000000000000p%2B0,-1.3352747326188148,0.1920759147441278,qn_finite_sample,2,id:bin-1,true,0.6974506950828632,0.5747260360555659,0.6974506950828632,1.1482370609883217e-13,defined,
id:scale-one%3Arow-01%3A002,id:row-01,one,id:row-03,id:x%3A0x1.0000000000000p%2B1,-1.0436896090313443,0.1920759147441278,qn_finite_sample,2,id:bin-1,true,0.6974506950828632,0.5747260360555659,0.6974506950828632,1.1482370609883217e-13,defined,
id:scale-one%3Arow-01%3A003,id:row-01,one,id:row-04,id:x%3A0x1.8000000000000p%2B1,-0.682679456018285,0.1920759147441278,qn_finite_sample,2,id:bin-1,true,0.6974506950828632,0.5747260360555659,0.6974506950828632,1.1482370609883217e-13,defined,
id:scale-one%3Arow-01%3A004,id:row-01,one,id:row-05,id:x%3A0x1.0000000000000p%2B2,-0.46051936185640263,0.1920759147441278,qn_finite_sample,2,id:bin-1,true,0.6974506950828632,0.5747260360555659,0.6974506950828632,1.1482370609883217e-13,defined,
id:scale-one%3Arow-01%3A005,id:row-01,one,id:row-06,id:x%3A0x1.4000000000000p%2B2,-0.16893423826893164,0.1920759147441278,qn_finite_sample,2,id:bin-1,true,0.6974506950828632,0.5747260360555659,0.6974506950828632,1.1482370609883217e-13,defined,
id:scale-one%3Arow-01%3A006,id:row-01,one,id:row-07,id:x%3A0x1.8000000000000p%2B2,0.1920759147441278,0.1920759147441278,qn_finite_sample,2,id:bin-1,true,0.6974506950828632,0.5747260360555659,0.6974506950828632,1.1482370609883217e-13,defined,
id:scale-one%3Arow-01%3A007,id:row-01,one,id:row-08,id:x%3A0x1.c000000000000p%2B2,0.4142360089060103,0.1920759147441278,qn_finite_sample,2,id:bin-1,false,0.6974506950828632,0.5747260360555659,0.6974506950828632,1.1482370609883217e-13,defined,
id:scale-one%3Arow-01%3A008,id:row-01,one,id:row-09,id:x%3A0x1.0000000000000p%2B3,0.7058211324934813,0.1920759147441278,qn_finite_sample,2,id:bin-1,false,0.6974506950828632,0.5747260360555659,0.6974506950828632,1.1482370609883217e-13,defined,
id:scale-one%3Arow-01%3A009,id:row-01,one,id:row-10,id:x%3A0x1.2000000000000p%2B3,1.0668312855065405,0.1920759147441278,qn_finite_sample,2,id:bin-1,false,0.6974506950828632,0.5747260360555659,0.6974506950828632,1.1482370609883217e-13,defined,
id:scale-one%3Arow-01%3A010,id:row-01,one,id:row-11,id:x%3A0x1.4000000000000p%2B3,1.288991379668423,0.1920759147441278,qn_finite_sample,2,id:bin-1,false,0.6974506950828632,0.5747260360555659,0.6974506950828632,1.1482370609883217e-13,defined,
